hidden_layer,batch_size,learning_rate,taxa_acerto,num_epochs,training_loss,validation_loss
25,1,0.1,0.8286190476190476,14,"[2.063466645307745, 1.7232964326916134, 1.6595434114727456, 1.6413312564255786, 1.6296491553292654, 1.6189465282153646, 1.6119024871849827, 1.6066404768742903, 1.6025646233420345, 1.5979302398537034, 1.5950890629499954, 1.5924623117944816, 1.5904382028491957, 1.5880113338131645]","[1.829925117038545, 1.6792509158452351, 1.670275608698527, 1.6609612958771842, 1.650474108400799, 1.6466495933986844, 1.640564189070747, 1.6394845673016138, 1.6392782585961478, 1.6388891736666362, 1.634781281153361, 1.6370055647123427, 1.6356257257007418, 1.6377543807029724]"
25,1,0.5,0.9089761904761905,22,"[1.8014791892466246, 1.6008651644068972, 1.5829899854291842, 1.5658219152270472, 1.5546592376927992, 1.548127206522695, 1.5408298954006958, 1.5394360349998162, 1.5353755271537324, 1.533637967293776, 1.528580180810294, 1.5246159138262665, 1.5174887757655215, 1.5285164571852894, 1.5168248461732676, 1.517826129613244, 1.5088551278876456, 1.5048767111019554, 1.5029001255039216, 1.5036068296976197, 1.503246296999764, 1.5026885113207715]","[1.6711939232689994, 1.6109786913508461, 1.595525318668002, 1.603355986731393, 1.5828307100704737, 1.592400468531109, 1.5796923637390137, 1.5839481524058752, 1.5651325725373768, 1.5783666570981343, 1.5746903987157912, 1.5617539513678778, 1.5768525827498663, 1.5596804789134435, 1.5631121765999567, 1.5614901440484183, 1.55652897414707, 1.556265422276088, 1.5528652043569655, 1.5552863507043748, 1.5567808321544103, 1.5537795083863395]"
25,1,1.0,0.744452380952381,7,"[1.8687129211463935, 1.7518340479399972, 1.7169994673602078, 1.6890681721873702, 1.6856577235666554, 1.6954149050005771, 1.6846237346443516]","[1.7914694434120542, 1.7045543931779408, 1.7198149079368228, 1.6752084209805442, 1.6922027184849693, 1.6943633811814445, 1.7175185623623075]"
25,1,10.0,0.09971428571428571,4,"[2.342741420541341, 2.3571293650686465, 2.3571293650686465, 2.3571293650686465]","[2.361436577070327, 2.361436577070327, 2.361436577070327, 2.361436577070327]"
25,10,0.1,0.9103333333333333,109,"[2.2928619341850283, 2.2326176640987394, 2.154144924402237, 2.0833211245536805, 2.012134873628616, 1.9802357218265534, 1.9373194198608399, 1.880911836385727, 1.8488221559524536, 1.8321234550476073, 1.8217705154418946, 1.8120375719070434, 1.7877030308246613, 1.765010341644287, 1.7487886106967927, 1.7207933247089386, 1.695978290081024, 1.6798775925636291, 1.669115603685379, 1.6606367161273956, 1.654437778234482, 1.649085645198822, 1.6445683901309966, 1.641062472820282, 1.6374370019435882, 1.6344257030487062, 1.6314498262405395, 1.6291921560764313, 1.6268210768699647, 1.6247633621692656, 1.6228569393157959, 1.6211023540496827, 1.6194040229320525, 1.6179970326423645, 1.6165312147140503, 1.6151024191379546, 1.6139028122425079, 1.6124979162216186, 1.611511552810669, 1.6103116087913514, 1.6093048524856568, 1.6083397443294525, 1.6072743649482728, 1.6063160762786866, 1.6056461527347565, 1.6046749887466432, 1.6038409278392791, 1.603022792339325, 1.6021074068546295, 1.6012921013832093, 1.6005569758415221, 1.5997681620121003, 1.5988385603427886, 1.5976909375190735, 1.5952497475147247, 1.5801032736301421, 1.564683272600174, 1.5569785730838777, 1.5514880619049072, 1.5475823585987092, 1.5441370947360993, 1.5414816100597382, 1.539132905960083, 1.5368780736923218, 1.534934846639633, 1.533156305551529, 1.5315224289894105, 1.5297464916706085, 1.5283040030002595, 1.5267737998962403, 1.5251972706317902, 1.5242139196395874, 1.5228899657726287, 1.5217747161388397, 1.5207101752758025, 1.5195337855815887, 1.518674442768097, 1.517523413181305, 1.5166552858352662, 1.51576798415184, 1.5149354841709137, 1.5139859027862548, 1.5133782556056976, 1.5126582996845246, 1.511943229675293, 1.511166316986084, 1.51047558760643, 1.509799280643463, 1.5092462430000304, 1.508641802072525, 1.5080942387580871, 1.5074081890583038, 1.5069438133239745, 1.506316112756729, 1.5058965921401977, 1.505348040342331, 1.504812605381012, 1.504388147354126, 1.5038976347446442, 1.5034600877761841, 1.502917193889618, 1.5025467879772185, 1.5022713568210602, 1.5017911553382874, 1.5013571395874024, 1.5010565042495727, 1.5007796168327332, 1.500427399635315, 1.500050133705139]","[2.2777300846009028, 2.2030264933904014, 2.1412699903760637, 2.056576893443153, 2.0082347364652726, 1.97591841788519, 1.9118690292040508, 1.8651432224682398, 1.8402068785258703, 1.8269922477858407, 1.8181178285962059, 1.8047535760062081, 1.775257857072921, 1.758762742791857, 1.741499730518886, 1.7129255135854085, 1.6926795017151606, 1.6812198559443157, 1.6729210586774916, 1.6668456054869152, 1.6630543952896482, 1.6593863566716511, 1.6570076573462713, 1.6527917612166632, 1.6505099762053717, 1.6492348455247425, 1.6484381556510925, 1.6459622468267168, 1.643852758975256, 1.641664547579629, 1.643344073068528, 1.6406739070301963, 1.6392456151190258, 1.6380810822759355, 1.6382220217159815, 1.6383921106656392, 1.6362286749340238, 1.6353470711481004, 1.6350311097644625, 1.6339522401491802, 1.636548482236408, 1.6337230971881322, 1.6329428184600103, 1.632737520195189, 1.6326798115457808, 1.6318134835788183, 1.630972791285742, 1.6303131977717082, 1.6312026608557928, 1.6297172960780917, 1.6298056244850159, 1.6300077438354492, 1.62957345304035, 1.6278260861124312, 1.6234173746336074, 1.603114658877963, 1.5955245239394051, 1.5912564879372006, 1.5874425087656294, 1.5850261080832708, 1.5826194570178078, 1.5816579177266075, 1.579571701231457, 1.5771564954803103, 1.5771481025786627, 1.5768056909243267, 1.575348002570016, 1.5737300685473852, 1.5731170149076552, 1.5740034551847548, 1.5741488110451471, 1.5717570639791942, 1.5711302359898884, 1.5697753883543468, 1.5686041599228269, 1.5697852884020125, 1.567842335928054, 1.5680668978464036, 1.5674736670085363, 1.567153689407167, 1.5667033848308383, 1.5656744497162955, 1.5664965169770377, 1.5655177292369662, 1.5655015820548648, 1.56549437556948, 1.5645360606057304, 1.5636387013253712, 1.5636318098931086, 1.5648637044997442, 1.563336724326724, 1.5628893375396729, 1.5625416012037368, 1.5626412800380163, 1.562409017767225, 1.5620532489958263, 1.5620777777263097, 1.5618340373039246, 1.5619188575517564, 1.5610162360327584, 1.5610015761284601, 1.5614751463844663, 1.5617070879255022, 1.5605959324609666, 1.5611146262713842, 1.5597330587250846, 1.5602085703895205, 1.5598777135213215, 1.560293279943012]"
25,10,0.5,0.9064285714285715,33,"[2.1527251825332643, 1.890821721792221, 1.7912737457752228, 1.7067060372829437, 1.6684475884437562, 1.6513798043727874, 1.6118290932178498, 1.568569365501404, 1.5562247121334076, 1.5469160523414611, 1.5403121802806854, 1.535107699394226, 1.5306235747337342, 1.526441139936447, 1.5227472143173217, 1.5196284954547883, 1.5167889058589936, 1.5143783116340637, 1.5119817423820496, 1.5101903636455536, 1.5081048183441161, 1.5066025938987733, 1.5047454648017884, 1.5032418777942658, 1.5018933231830598, 1.5007182295322419, 1.4997122082710266, 1.4989258952140807, 1.4978299944400788, 1.4972677388191222, 1.4965853605270385, 1.4958681242465972, 1.4952600288391114]","[2.006713765008109, 1.8382151609375363, 1.770129056203933, 1.7044893474805922, 1.6855466337431044, 1.6758740061805362, 1.6205907719475883, 1.5877237433478946, 1.5884393737429665, 1.5831300133750552, 1.5780193607012432, 1.5728698543139867, 1.5735452629271007, 1.5714134801001776, 1.5682021521386647, 1.5675663550694783, 1.5723463523955572, 1.56519953977494, 1.5668101963542758, 1.5650878208024162, 1.563453007312048, 1.5635367972510201, 1.5641178914478846, 1.5620181844348, 1.5632744488261996, 1.5608318419683547, 1.5610282023747761, 1.5598709129151844, 1.5607665578524272, 1.5591471223604112, 1.5594321404184615, 1.5595927181698026, 1.560208490916661]"
25,10,1.0,0.9154285714285715,50,"[2.0596749455928802, 1.7258671877384186, 1.6055468227863312, 1.5720587077140808, 1.5546774439811706, 1.5427161600589752, 1.535670909166336, 1.528240381002426, 1.5207337925434112, 1.5161937146186828, 1.50971266913414, 1.5067729589939118, 1.5031288537979126, 1.5011704018115997, 1.4982325859069825, 1.4962080283164978, 1.4936897678375245, 1.491919310092926, 1.490363793849945, 1.4891939346790313, 1.4884073634147643, 1.4874682168960571, 1.4870666673183441, 1.486375915288925, 1.4858858468532563, 1.4856110153198243, 1.4848562335968019, 1.484490107536316, 1.483926787853241, 1.4835470905303956, 1.483131155014038, 1.4826575112342835, 1.4822150139808654, 1.4818743357658386, 1.4816217362880706, 1.4812606210708619, 1.4808834574222565, 1.4807118780612945, 1.4805516057014465, 1.4803950448036194, 1.4803933167457581, 1.4800548980236052, 1.4798963072299958, 1.479847417116165, 1.479761157989502, 1.4796816341876984, 1.4796091446876525, 1.4795419898033142, 1.4795393431186676, 1.479335842370987]","[1.8529403067770458, 1.6635592721757435, 1.6010832445962089, 1.6069757484254383, 1.5749489608265104, 1.5754869069371904, 1.572600313595363, 1.5830221970876057, 1.5654298634756179, 1.5684284567832947, 1.5674236189751398, 1.5620121104376656, 1.5613773947670346, 1.5621675820577712, 1.557260010923658, 1.5581600949877785, 1.5577328574089777, 1.5559643535386949, 1.5551985984756833, 1.5559586116245814, 1.5538788664908636, 1.5545735274042403, 1.5541862618355524, 1.5537273372922624, 1.5529799943878537, 1.553131674017225, 1.5532623898415339, 1.5528149235816229, 1.5540083958989097, 1.5524520306360154, 1.5525500320252918, 1.5519108573595684, 1.5514509564354306, 1.550861080487569, 1.5510247065907432, 1.5500223352795555, 1.5497491615159171, 1.54958404813494, 1.549338990733737, 1.549385014034453, 1.5491905439467657, 1.548994677407401, 1.5495851238568623, 1.548992775735401, 1.5491404306320917, 1.5489493920689537, 1.5486063219252086, 1.5493093672252836, 1.5490980375380743, 1.5489155593372526]"
25,10,10.0,0.8368809523809524,12,"[1.8295887088775635, 1.7046087336540223, 1.6756321744918823, 1.6246030957698823, 1.6309371893405915, 1.6268782835006714, 1.6106323113441467, 1.6070609028339387, 1.6063331887722014, 1.599094333410263, 1.599342387676239, 1.593220091342926]","[1.7182121475537617, 1.6995520903950645, 1.657742557071504, 1.6457611890066237, 1.6588026597386314, 1.653939684232076, 1.6316109867323012, 1.6274932480993725, 1.609067908355168, 1.6146389473052252, 1.6456665765671503, 1.6258773633411951]"
25,50,0.1,0.9028571428571428,247,"[2.301342113018036, 2.2984352898597717, 2.294947187900543, 2.290516426563263, 2.284554073810577, 2.276239411830902, 2.2650881791114807, 2.2511946988105773, 2.234618079662323, 2.2138536310195924, 2.1847092390060423, 2.1494276404380797, 2.1197037529945373, 2.0992783379554747, 2.0854371440410615, 2.075119442939758, 2.066443874835968, 2.0584666109085084, 2.0504407691955566, 2.041993803977966, 2.0328320169448855, 2.0222739183902743, 2.010491359233856, 1.9978017711639404, 1.985181415081024, 1.9730214118957519, 1.9615070462226867, 1.9507272589206694, 1.9403104209899902, 1.929969335794449, 1.9192075634002685, 1.9081692016124725, 1.8975531077384948, 1.8877485716342925, 1.879359817504883, 1.8718342447280885, 1.8652711009979248, 1.8595586371421815, 1.854368623495102, 1.8497633945941925, 1.8455638003349304, 1.8416397631168366, 1.8379479074478149, 1.8342763006687164, 1.8305514550209045, 1.8267914974689483, 1.8225575852394105, 1.8180025148391723, 1.8129502248764038, 1.8075198769569396, 1.8024652516841888, 1.7972078096866608, 1.792073405981064, 1.7873656165599823, 1.7829241001605987, 1.778779730796814, 1.7748911023139953, 1.7714436662197113, 1.7681795048713684, 1.7652211749553681, 1.76245858669281, 1.759957379102707, 1.7575928008556365, 1.7553429055213927, 1.7533015513420105, 1.7513654816150666, 1.749589946269989, 1.747814953327179, 1.7462979829311371, 1.7447820043563842, 1.7433366346359254, 1.741883157491684, 1.740655735731125, 1.73942675948143, 1.7380582511425018, 1.7369922602176666, 1.7359150314331055, 1.734871062040329, 1.7337463235855102, 1.7327431750297546, 1.7317857813835145, 1.7308165073394775, 1.729869077205658, 1.7288718211650849, 1.7280572366714477, 1.7271458101272583, 1.7262708353996277, 1.725387885570526, 1.724507839679718, 1.7236093926429747, 1.7227035188674926, 1.7216972756385802, 1.7206432008743286, 1.7195008134841918, 1.718211829662323, 1.7167381811141968, 1.7147509038448334, 1.71211802482605, 1.708775690793991, 1.7048950803279876, 1.701131408214569, 1.6976539385318756, 1.69427574634552, 1.6908254945278167, 1.6872387826442719, 1.6827054607868195, 1.6761163520812987, 1.665872255563736, 1.6553472328186034, 1.6475662910938262, 1.6409916222095489, 1.6354245591163634, 1.6303599953651429, 1.6258794844150544, 1.6219317245483398, 1.618414168357849, 1.615177536010742, 1.6121627187728882, 1.6095009863376617, 1.6069586408138274, 1.6046717143058777, 1.6024539768695831, 1.600391675233841, 1.598440009355545, 1.5966470086574553, 1.5948889696598052, 1.5932523679733277, 1.5916438841819762, 1.5901727867126465, 1.5887296640872954, 1.587361191511154, 1.5860075163841247, 1.5847041606903076, 1.583434898853302, 1.5823295891284943, 1.5811684536933899, 1.580032740831375, 1.578986531496048, 1.5779094612598419, 1.576922618150711, 1.575929741859436, 1.5749246990680694, 1.5740517938137055, 1.5730941605567932, 1.572249209880829, 1.5713805031776429, 1.5705554604530334, 1.5697440576553345, 1.5689721667766572, 1.5681623220443726, 1.5673313283920287, 1.566677179336548, 1.5659052550792694, 1.5652250945568085, 1.5644414687156678, 1.56382835149765, 1.5631592977046966, 1.5624816417694092, 1.5618676555156707, 1.5611895680427552, 1.5605953705310822, 1.560034909248352, 1.5593616235256196, 1.5587936210632325, 1.558296684026718, 1.5577246153354645, 1.55711869597435, 1.5566172289848328, 1.5560359311103822, 1.5555375576019288, 1.555007940530777, 1.5544825649261476, 1.5540850853919983, 1.553541179895401, 1.5530038094520568, 1.552560157775879, 1.5520996153354645, 1.5516312003135682, 1.5511942970752717, 1.5507279634475708, 1.5502911126613617, 1.549896751642227, 1.5494311797618865, 1.5489982628822327, 1.5485889518260956, 1.548168395757675, 1.5478027045726777, 1.547419400215149, 1.5470138335227965, 1.5465956294536591, 1.5462079393863677, 1.5458050894737243, 1.545401941537857, 1.5450135481357574, 1.544701979160309, 1.5443484139442445, 1.5440096926689149, 1.5436366701126099, 1.5432447803020477, 1.5429279756546022, 1.5425310385227204, 1.5421949112415314, 1.5419226133823394, 1.5415607655048371, 1.5412176370620727, 1.5408791053295134, 1.5405734694004058, 1.5402102077007294, 1.5398962056636811, 1.539635329246521, 1.5393039190769195, 1.5389320695400237, 1.5386729896068574, 1.538408144712448, 1.5380453491210937, 1.5377789187431334, 1.5374777102470398, 1.5371684086322785, 1.5367756366729737, 1.53657093167305, 1.5362970173358916, 1.5360092878341676, 1.535720452070236, 1.5354809772968292, 1.535182809829712, 1.5348727953433992, 1.5346166098117828, 1.5344060504436492, 1.5340994572639466, 1.53382071018219, 1.5335864317417145, 1.5333252453804016, 1.5330582547187805, 1.5327659904956819, 1.532545620203018, 1.532249413728714, 1.5320223426818849, 1.53177987575531, 1.5315634942054748, 1.531321177482605, 1.531076638698578, 1.5308025217056274, 1.5305605375766753, 1.5303054213523866, 1.530143105983734, 1.5298825049400329, 1.5296592044830322]","[2.3004948865799677, 2.2975916862487793, 2.2940977868579684, 2.28958337079911, 2.2834272668475197, 2.2749649626868114, 2.2640173775809154, 2.250012585094997, 2.2333478303182694, 2.2102738732383367, 2.178103696732294, 2.146279533704122, 2.1231272107078913, 2.1073791129248485, 2.0961055812381564, 2.0867852653775896, 2.0785878158750988, 2.070137313434056, 2.0620190302530923, 2.0526805832272483, 2.0425246840431575, 2.0309686263402305, 2.0181116263071694, 2.004662723768325, 1.9917920316968645, 1.9796719267254783, 1.9687528695378984, 1.9582336999121166, 1.9479076464970906, 1.9372396213667733, 1.926552883216313, 1.9153870457694644, 1.9051183348610288, 1.8963584985051836, 1.8878207575707209, 1.8812636449223472, 1.8746233468963986, 1.8695030042103358, 1.8645778184845334, 1.860189940248217, 1.8566016100701832, 1.852517965294066, 1.8489434378487724, 1.845517328807286, 1.8417080271811712, 1.8379953929356165, 1.8344572214853196, 1.829292777038756, 1.8246578545797438, 1.819124264376504, 1.8147469276473636, 1.809669295946757, 1.8043249959037417, 1.8008371960549128, 1.7965688506762187, 1.7927323182423909, 1.7893121980485462, 1.786253761677515, 1.7830727838334584, 1.780679078329177, 1.778283227057684, 1.7758251598903112, 1.7735322373253959, 1.7717621525128682, 1.769562005996704, 1.7679790343557085, 1.7662530030523027, 1.7649235129356384, 1.7636609645116896, 1.762392472653162, 1.7607336753890628, 1.7588881396111988, 1.7582785033044361, 1.7568865361667814, 1.7562727275348844, 1.7546552760260445, 1.7540111655280703, 1.7530616975965954, 1.7520331087566556, 1.75093070098332, 1.7501586789176578, 1.7493330382165455, 1.748897447472527, 1.7486342333611988, 1.747191886107127, 1.7461975500697182, 1.7453810345558893, 1.7448629680134, 1.74378840696244, 1.743120477313087, 1.74217498870123, 1.74150303148088, 1.7404403686523438, 1.739586597397214, 1.73829961674554, 1.7366446881067186, 1.734819273153941, 1.731746134303865, 1.7287226063864571, 1.7258278670765104, 1.7229952414830525, 1.7201054692268372, 1.7178203208105904, 1.714634622846331, 1.710450530052185, 1.7049628780001687, 1.6956876913706462, 1.6832884777159918, 1.6742222706476848, 1.6673624685832433, 1.6616683914547874, 1.6560318753832863, 1.6513642810639881, 1.6473182383037748, 1.6438669250124978, 1.6410548431532723, 1.6378319774355208, 1.6349335539908636, 1.6327022455987477, 1.6308036560104007, 1.628967679682232, 1.6267004438808985, 1.625328506742205, 1.623594187554859, 1.6218065250487554, 1.6203924133664085, 1.6192142282213484, 1.6176488115673973, 1.6161126238959176, 1.6152095879827226, 1.6139962048757643, 1.613200102533613, 1.6116662479582287, 1.611055090313866, 1.609998881816864, 1.6088319704646157, 1.6081797168368386, 1.6074055007525854, 1.6064406179246449, 1.605557884488787, 1.6049037802787054, 1.604291552589053, 1.603589001156035, 1.6026734142076402, 1.602023224035899, 1.6014983029592604, 1.6008499491782415, 1.6001189322698683, 1.5995792008581615, 1.598987491357894, 1.5984660159973871, 1.5979123825118655, 1.597227000054859, 1.5970007919129872, 1.5965671624456133, 1.5960912732850938, 1.5952387707574027, 1.5950890268598283, 1.5946986675262451, 1.5941870922134036, 1.5935304022970653, 1.5934238178389413, 1.592996134644463, 1.5923050187882923, 1.592068652311961, 1.5915487522170657, 1.5913754673231215, 1.5909576756613595, 1.5905207253637768, 1.5904244837306796, 1.589881527991522, 1.5897713871229262, 1.5893541943459284, 1.588985258624667, 1.5886852514176142, 1.5885431624594188, 1.5881625697726296, 1.5879942121959867, 1.5875400617009117, 1.5873993862242926, 1.5869498735382443, 1.5865795896166848, 1.5862646017755782, 1.5858688609940665, 1.586129563195365, 1.5858261528469266, 1.5854773209208535, 1.5851236070905412, 1.5851377191997709, 1.5845815255528404, 1.5846288743473234, 1.5843231876691182, 1.5837009180159796, 1.583999670687176, 1.5833291922296797, 1.583210752123878, 1.5830043781371343, 1.5829403059823173, 1.582686219896589, 1.5826642513275146, 1.5823766418865748, 1.581841236069089, 1.5816893151828222, 1.5813996536391122, 1.5814535844893682, 1.581054185117994, 1.5812214698110307, 1.5808607879139127, 1.5804526209831238, 1.580422438326336, 1.5802055455389477, 1.5799720230556669, 1.579995138304574, 1.5799841256368727, 1.5794064061982291, 1.5792969976152693, 1.5791583543732053, 1.5790062291281564, 1.5792001911572047, 1.578505745955876, 1.5783507795560927, 1.5782114891778856, 1.5787007837068467, 1.578031911736443, 1.577933512982868, 1.5777078100613184, 1.577824933188302, 1.5775416096051533, 1.577572524547577, 1.5769635126704262, 1.5769547053745814, 1.5765934104011172, 1.5767987966537476, 1.5764321032024564, 1.5764566546394712, 1.5764297644297283, 1.5762750875382197, 1.5758114258448284, 1.5757520965167455, 1.575978506179083, 1.575448989868164, 1.575390106155759, 1.5751723930949257, 1.5748386155991327, 1.5748914082845051, 1.5748832112266904, 1.5749960825556801]"
25,50,0.5,0.9071666666666667,98,"[2.2990794014930724, 2.277520158290863, 2.1928797936439515, 2.0634089422225954, 1.9995613169670106, 1.9508684468269348, 1.9094500124454499, 1.8828976905345918, 1.8320616829395293, 1.7917982602119447, 1.7680277669429778, 1.7531955564022064, 1.7424955296516418, 1.731705813407898, 1.7109774780273437, 1.691172560453415, 1.6770810079574585, 1.6674667036533355, 1.6596775889396667, 1.6537884283065796, 1.6486066210269927, 1.6446502447128295, 1.640941984653473, 1.637574919462204, 1.6346022379398346, 1.6318904054164887, 1.6294138646125793, 1.627424999475479, 1.6253572940826415, 1.6233514761924743, 1.62162580370903, 1.6197471225261688, 1.6182784366607665, 1.616669818162918, 1.6152142250537873, 1.6135320961475372, 1.612302097082138, 1.6111162114143371, 1.6098426246643067, 1.6085385084152222, 1.6067296528816224, 1.5990712571144103, 1.579812649488449, 1.5696601033210755, 1.562958495616913, 1.5580635094642639, 1.5540361297130585, 1.5509180915355683, 1.5481158626079559, 1.5458278584480285, 1.5435709714889527, 1.5415725898742676, 1.5398049700260161, 1.538231121301651, 1.5366676652431488, 1.5350386357307435, 1.5334546422958375, 1.5322355282306672, 1.5309956514835357, 1.52961399435997, 1.5284861540794372, 1.5274322617053986, 1.526218100786209, 1.525317747592926, 1.524355684518814, 1.5232516205310822, 1.5222827434539794, 1.5214754295349122, 1.5205661916732789, 1.5198849880695342, 1.5189592278003692, 1.518197524547577, 1.5175805413722991, 1.5168690943717957, 1.5160237419605256, 1.5155059003829956, 1.5147689604759216, 1.5143837094306947, 1.5136049592494965, 1.5131658053398132, 1.5125202143192291, 1.5119609725475311, 1.5114836061000825, 1.5109550881385803, 1.51044105052948, 1.5100740826129913, 1.5095701110363007, 1.509119939804077, 1.508643982410431, 1.5081745553016663, 1.5078866481781006, 1.5074392306804656, 1.5070443618297578, 1.5066537630558015, 1.5061569094657898, 1.5058813083171845, 1.505459156036377, 1.5052133548259734]","[2.291831544467381, 2.252149610292344, 2.128419762565976, 2.0313019383521307, 1.9946069745790391, 1.9350858642941429, 1.9062232148079645, 1.8633160307293846, 1.811754862467448, 1.781696277005332, 1.7637644183068049, 1.7524291220165433, 1.743997539792742, 1.7297834753990173, 1.7074403706051053, 1.6916377317337763, 1.6815491176786876, 1.673465180964697, 1.6686376588685172, 1.6639266297930764, 1.661120349452609, 1.6583108930360704, 1.6556976863316126, 1.6533405496960594, 1.6522243022918701, 1.6498802275884719, 1.6486141851970129, 1.6469003104028248, 1.6466405278160459, 1.6451348520460582, 1.6434848138264246, 1.6426916349501837, 1.6421695067769004, 1.639701973824274, 1.6399079532850356, 1.639010874998002, 1.6370956557137626, 1.6381997608003163, 1.6371194464819772, 1.634573138895489, 1.6336076798893155, 1.6165052765891665, 1.6061932132357644, 1.600171943505605, 1.597401587736039, 1.593756391888573, 1.5899863214719863, 1.5885262035188221, 1.5875833261580694, 1.5849194469906034, 1.5844607097761971, 1.581716693582989, 1.5809891053608485, 1.579433759053548, 1.5783419183322362, 1.5780594150225322, 1.5765014375959123, 1.5757439647402083, 1.575507090205238, 1.57518470287323, 1.5737876806940352, 1.5740240159488859, 1.5724451655433291, 1.573333814030602, 1.5733354914756048, 1.5716224142483302, 1.5717078078360784, 1.571204628263201, 1.5710486826442538, 1.5702802709170751, 1.5693043385233199, 1.5685563286145527, 1.5685329153424217, 1.5697317407244729, 1.5683777701287043, 1.5681050646872747, 1.567558487256368, 1.5674751088732766, 1.568055734747932, 1.5670282074383326, 1.5679437943867274, 1.5665984437579201, 1.56632699852898, 1.5657085492497398, 1.5665679205031622, 1.5658386463210696, 1.5652491421926589, 1.565247356891632, 1.5660392755553836, 1.565295349983942, 1.5645745850744701, 1.5645650256247747, 1.5641452017284574, 1.5642826784224737, 1.5633486140341986, 1.5637251876649403, 1.5636198690959386, 1.5635392268498738]"
